team1,team2,winner,Margin,ground,Match_id,scorecard_href
RCB,CSK,CSK,6 wickets,Chennai,Match #1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-royal-challengers-bengaluru-1st-match-1422119/full-scorecard
DC,PBKS,PBKS,4 wickets,Mullanpur,Match #2,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-delhi-capitals-2nd-match-1422120/full-scorecard
SRH,KKR,KKR,4 runs,Eden Gardens,Match #3,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-3rd-match-1422121/full-scorecard
LSG,RR,RR,20 runs,Jaipur,Match #4,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-lucknow-super-giants-4th-match-1422122/full-scorecard
MI,GT,GT,6 runs,Ahmedabad,Match #5,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-mumbai-indians-5th-match-1422123/full-scorecard
PBKS,RCB,RCB,4 wickets,Bengaluru,Match #6,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-punjab-kings-6th-match-1422124/full-scorecard
GT,CSK,CSK,63 runs,Chennai,Match #7,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-gujarat-titans-7th-match-1422125/full-scorecard
MI,SRH,SRH,31 runs,Hyderabad,Match #8,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-mumbai-indians-8th-match-1422126/full-scorecard
DC,RR,RR,12 runs,Jaipur,Match #9,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-delhi-capitals-9th-match-1422127/full-scorecard
RCB,KKR,KKR,7 wickets,Bengaluru,Match #10,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-kolkata-knight-riders-10th-match-1422128/full-scorecard
PBKS,LSG,LSG,21 runs,Lucknow,Match #11,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-punjab-kings-11th-match-1422129/full-scorecard
SRH,GT,GT,7 wickets,Ahmedabad,Match #12,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-sunrisers-hyderabad-12th-match-1422130/full-scorecard
CSK,CSK,DC,20 runs,Visakhapatnam,Match #13,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-chennai-super-kings-13th-match-1422131/full-scorecard
MI,RR,RR,6 wickets,Wankhede,Match #14,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-rajasthan-royals-14th-match-1422132/full-scorecard
