Match_ID,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players
1422119,Royal Challengers Bengaluru,Chennai Super Kings,22-03-2024,Royal Challengers Bengaluru,bat,Win,NA,Chennai Super Kings,Mustafizur Rahman,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, KD Karthik, KV Sharma, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, RA Jadeja, Sameer Rizvi, MS Dhoni, DL Chahar, M Theekshana, TU Deshpande, Mustafizur Rahman"
1422120,Delhi Capitals,Punjab Kings,23-03-2024,Punjab Kings,field,Win,NA,Punjab Kings,SM Curran,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,"DA Warner, MR Marsh, SD Hope, RR Pant, RK Bhui, T Stubbs, AR Patel, Sumit Kumar, Abishek Porel, Kuldeep Yadav, KK Ahmed, I Sharma","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, LS Livingstone, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar"
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,23-03-2024,Sunrisers Hyderabad,field,Win,NA,Kolkata Knight Riders,AD Russell,"Eden Gardens, Kolkata",Kolkata,"Suyash Sharma, PD Salt, SP Narine, VR Iyer, SS Iyer, N Rana, Ramandeep Singh, RK Singh, AD Russell, MA Starc, Harshit Rana, CV Varun","T Natarajan, MA Agarwal, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, M Jansen, PJ Cummins, B Kumar, M Markande"
1422122,Rajasthan Royals,Lucknow Super Giants,24-03-2024,Rajasthan Royals,bat,Win,NA,Rajasthan Royals,SV Samson,"Sawai Mansingh Stadium, Jaipur",Jaipur,"YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, Sandeep Sharma, YS Chahal, Avesh Khan, TA Boult, N Burger","Q de Kock, KL Rahul, D Padikkal, A Badoni, DJ Hooda, N Pooran, MP Stoinis, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, Yash Thakur"
1422123,Gujarat Titans,Mumbai Indians,24-03-2024,Mumbai Indians,field,Win,NA,Gujarat Titans,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, V Shankar, R Tewatia, Rashid Khan, UT Yadav, R Sai Kishore, SH Johnson","L Wood, Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, TH David, HH Pandya, G Coetzee, SZ Mulani, PP Chawla, JJ Bumrah"
1422124,Punjab Kings,Royal Challengers Bengaluru,25-03-2024,Royal Challengers Bengaluru,field,Win,NA,Royal Challengers Bengaluru,V Kohli,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,"Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, LS Livingstone, SM Curran, JM Sharma, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar","Yash Dayal, V Kohli, F du Plessis, C Green, RM Patidar, GJ Maxwell, Anuj Rawat, KD Karthik, MK Lomror, AS Joseph, Mayank Dagar, Mohammed Siraj"
1422125,Chennai Super Kings,Gujarat Titans,26-03-2024,Gujarat Titans,field,Win,NA,Chennai Super Kings,S Dube,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, S Dube, DJ Mitchell, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, V Shankar, DA Miller, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, R Sai Kishore"
1422126,Sunrisers Hyderabad,Mumbai Indians,27-03-2024,Mumbai Indians,field,Win,NA,Sunrisers Hyderabad,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,"Umran Malik, MA Agarwal, TM Head, Abhishek Sharma, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, M Markande, JD Unadkat","KT Maphaka, RG Sharma, Ishan Kishan, Naman Dhir, Tilak Varma, HH Pandya, TH David, R Shepherd, G Coetzee, JJ Bumrah, PP Chawla, SZ Mulani"
1422127,Rajasthan Royals,Delhi Capitals,28-03-2024,Delhi Capitals,field,Win,NA,Rajasthan Royals,R Parag,"Sawai Mansingh Stadium, Jaipur",Jaipur,"N Burger, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","KK Ahmed, DA Warner, MR Marsh, RK Bhui, RR Pant, T Stubbs, Abishek Porel, AR Patel, Sumit Kumar, Kuldeep Yadav, A Nortje, Mukesh Kumar"
1422128,Royal Challengers Bengaluru,Kolkata Knight Riders,29-03-2024,Kolkata Knight Riders,field,Win,NA,Kolkata Knight Riders,SP Narine,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,"Vijaykumar Vyshak, V Kohli, F du Plessis, C Green, GJ Maxwell, RM Patidar, Anuj Rawat, KD Karthik, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","CV Varun, PD Salt, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, AS Roy, Harshit Rana, A Raghuvanshi"
