ID,Name,longName,battingName,fieldingName,imgUrl,dob,battingStyles,longBattingStyles,bowlingStyles,longBowlingStyles,,playingRole,espn_url
95094,RD Gaikwad,Ruturaj Gaikwad,RD Gaikwad,Gaikwad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322236.png",31-01-1997,rhb,right-hand bat,ob,right-arm offbreak,,Top-order Batsman,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380
46597,MM Ali,Moeen Ali,MM Ali,Ali,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316557.png",18-06-1987,lhb,left-hand bat,ob,right-arm offbreak,,All-rounder,https://www.espncricinfo.com/cricketers/moeen-ali-8917
116328,Aravelly Avanish,Aravelly Avanish,Aravelly Avanish,Aravelly Avanish,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/379000/379037.4.jpg",02-06-2005,lhb,left-hand bat,Na,Na,,All-rounder,https://www.espncricinfo.com/cricketers/aravelly-avanish-1408675
62022,DL Chahar,Deepak Chahar,DL Chahar,Chahar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322704.png",07-08-1992,rhb,right-hand bat,rm,right-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/deepak-chahar-447261
80607,TU Deshpande,Tushar Deshpande,TU Deshpande,Deshpande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339160.png",15-05-1995,lhb,left-hand bat,rm,right-arm medium,,Bowler,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553
7593,MS Dhoni,MS Dhoni,MS Dhoni,Dhoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319946.png",07-07-1981,rhb,right-hand bat,rm,right-arm medium,,Wicketkeeper batter,https://www.espncricinfo.com/cricketers/ms-dhoni-28081
74975,S Dube,Shivam Dube,S Dube,Dube,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322703.png",26-06-1993,lhb,left-hand bat,rm,right-arm medium,,All-rounder,https://www.espncricinfo.com/cricketers/shivam-dube-714451
63314,RJ Gleeson,Richard Gleeson,RJ Gleeson,Gleeson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324238.png",02-12-1987,rhb,right-hand bat,rfm,right-arm fast-medium,,Bowler,https://www.espncricinfo.com/cricketers/richard-gleeson-473191
104758,RS Hangargekar,Rajvardhan Hangargekar,RS Hangargekar,Hangargekar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339157.png",10-11-2002,rhb,right-hand bat,rfm,right-arm fast-medium,,Top-order Batsman,https://www.espncricinfo.com/cricketers/rajvardhan-hangargekar-1175429
49247,RA Jadeja,Ravindra Jadeja,RA Jadeja,Jadeja,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316600.png",06-12-1988,lhb,left-hand bat,sla,slow left-arm orthodox,,All-rounder,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
