Match_ID,team1,team2,BattingTeam,Batter,runs,balls_faced,fours,sixes,out,strike_rate
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,AM Rahane,27,20,0,2,out,135
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,DJ Mitchell,22,18,0,2,out,122.22
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,R Ravindra,37,17,3,3,out,217.65
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,RA Jadeja,25,18,0,1,not_out,138.89
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,RD Gaikwad,15,15,3,0,out,100
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,S Dube,34,32,4,1,not_out,106.25
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Anuj Rawat,48,26,4,3,not_out,184.62
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,C Green,18,22,1,0,out,81.82
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,F du Plessis,35,24,8,0,out,145.83
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,GJ Maxwell,0,1,0,0,out,0
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,KD Karthik,38,32,3,2,out,118.75
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,RM Patidar,0,3,0,0,out,0
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,V Kohli,21,21,0,1,out,100
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,AR Patel,21,13,2,1,out,161.54
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,Abishek Porel,32,10,4,2,out,320
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,DA Warner,29,22,3,2,out,131.82
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,Kuldeep Yadav,1,2,0,0,not_out,50
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,MR Marsh,20,14,2,2,out,142.86
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,RK Bhui,3,7,0,0,out,42.86
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,RR Pant,18,13,2,0,out,138.46
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,SD Hope,33,25,2,2,out,132
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,Sumit Kumar,2,10,0,0,out,20
1422120,Delhi Capitals,Punjab Kings,Delhi Capitals,T Stubbs,5,8,0,0,out,62.5
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,Harpreet Brar,2,2,0,0,not_out,100
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,JM Bairstow,9,3,2,0,not_out,300
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,JM Sharma,9,9,1,0,out,100
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,LS Livingstone,38,23,2,3,not_out,165.22
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,P Simran Singh,26,17,5,0,out,152.94
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,S Dhawan,22,19,4,0,out,115.79
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,SM Curran,63,48,6,1,out,131.25
1422120,Delhi Capitals,Punjab Kings,Punjab Kings,Shashank Singh,0,1,0,0,out,0
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,AD Russell,64,28,3,7,not_out,228.57
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,MA Starc,6,3,1,0,not_out,200
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,N Rana,9,11,1,0,out,81.82
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,PD Salt,54,42,3,3,out,128.57
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,RK Singh,23,15,3,0,out,153.33
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Ramandeep Singh,35,17,1,4,out,205.88
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,SP Narine,2,5,0,0,not_out,40
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,SS Iyer,0,2,0,0,out,0
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,VR Iyer,7,5,1,0,out,140
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,AK Markram,18,13,2,0,out,138.46
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Abdul Samad,15,11,1,1,out,136.36
